,datetime,year,month,day,value,color,type
0,2018-09-17,2018,09,17,-999.9000000000001,,TMAX
0,2018-09-18,2018,09,18,30.900000000000002,,TMAX
0,2018-09-19,2018,09,19,-999.9000000000001,,TMAX
0,2018-09-20,2018,09,20,37.1,,TMAX
0,2018-09-21,2018,09,21,-999.9000000000001,,TMAX
0,2018-09-22,2018,09,22,23.200000000000003,,TMAX
0,2018-09-23,2018,09,23,-999.9000000000001,,TMAX
0,2018-09-24,2018,09,24,-999.9000000000001,,TMAX
0,2018-09-25,2018,09,25,-999.9000000000001,,TMAX
0,2018-09-26,2018,09,26,-999.9000000000001,,TMAX
0,2018-09-27,2018,09,27,21.5,,TMAX
0,2018-09-28,2018,09,28,-999.9000000000001,,TMAX
0,2018-09-29,2018,09,29,27.3,,TMAX
0,2018-09-30,2018,09,30,30.5,,TMAX
0,2018-10-01,2018,10,01,-999.9000000000001,,TMAX
0,2018-10-02,2018,10,02,-999.9000000000001,,TMAX
0,2018-10-03,2018,10,03,-999.9000000000001,,TMAX
0,2018-10-04,2018,10,04,26.5,,TMAX
0,2018-10-05,2018,10,05,25.200000000000003,,TMAX
0,2018-10-06,2018,10,06,27.3,,TMAX
0,2018-10-07,2018,10,07,28.3,,TMAX
0,2018-10-08,2018,10,08,-999.9000000000001,,TMAX
0,2018-10-09,2018,10,09,-999.9000000000001,,TMAX
0,2018-10-10,2018,10,10,-999.9000000000001,,TMAX
0,2018-10-11,2018,10,11,23.200000000000003,,TMAX
0,2018-10-12,2018,10,12,-999.9000000000001,,TMAX
0,2018-10-13,2018,10,13,-999.9000000000001,,TMAX
0,2018-10-14,2018,10,14,14.4,,TMAX
0,2018-10-15,2018,10,15,-999.9000000000001,,TMAX
0,2018-10-16,2018,10,16,-999.9000000000001,,TMAX
0,2018-10-17,2018,10,17,21.3,,TMAX
0,2018-10-18,2018,10,18,23.900000000000002,,TMAX
0,2018-10-19,2018,10,19,-999.9000000000001,,TMAX
0,2018-10-20,2018,10,20,-999.9000000000001,,TMAX
0,2018-10-21,2018,10,21,-999.9000000000001,,TMAX
0,2018-10-22,2018,10,22,-999.9000000000001,,TMAX
0,2018-10-23,2018,10,23,-999.9000000000001,,TMAX
0,2018-10-24,2018,10,24,-999.9000000000001,,TMAX
0,2018-10-25,2018,10,25,-999.9000000000001,,TMAX
0,2018-10-26,2018,10,26,23.8,,TMAX
0,2018-10-27,2018,10,27,-999.9000000000001,,TMAX
0,2018-10-28,2018,10,28,-999.9000000000001,,TMAX
0,2018-10-29,2018,10,29,-999.9000000000001,,TMAX
0,2018-10-30,2018,10,30,-999.9000000000001,,TMAX
